Latitude,Longitude,TotalCases
7.873054,80.771797,662748
12.8628,30.2176,62057
35.6491,139.7737,865
3.9193,-56.0278,79276
60.128161,18.643501,2491980
46.8182,8.2275,3568616
34.802075,38.996815,55756
23.7,121,29593
38.861,71.2761,17786
-6.369028,34.888822,33851
15.870032,100.992541,3973003
-8.874217,125.727539,22848
8.6195,0.8248,36957
-21.179,-175.1982,8761
10.6918,-61.2225,141155
33.886917,9.537499,1038668
38.9637,35.2433,14978031
40,-100,80518989
1.373333,32.290275,164024
48.3794,31.1656,5040518
23.424076,53.847818,894523
18.2206,-63.0686,2731
32.3078,-64.7505,12808
18.4207,-64.64,6162
19.3133,-81.2546,21121
49.3723,-2.3644,0
-51.7963,-59.5236,131
36.1408,-5.3536,17236
49.448196,-2.58949,23684
54.2361,-4.5481,30169
49.2138,-2.1358,48305
16.742498,-62.187366,176
-7.9467,-14.3559,4
21.694,-71.7979,5936
55.3781,-3.436,21715116
-32.5228,-55.7658,894984
41.377491,64.585262,238176
-15.3767,166.9592,5543
6.4238,-66.5897,521714
14.058324,108.277199,10297587
31.9522,35.2332,656617
39.9042,116.4074,535
15.552727,48.516388,11815
-13.133897,27.849332,318113
-19.015438,29.154857,247160
